"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___RNAseq.g9752.t1",58,290,124
"Porites_compressa_HIv1___TS.g4399.t1",338,666,0
"Porites_compressa_HIv1___TS.g4400.t1",14,224,247
"Porites_compressa_HIv1___RNAseq.g9755.t1",686,1456,0
"Porites_compressa_HIv1___RNAseq.g9756.t1",15,931,453
"Porites_compressa_HIv1___RNAseq.g9758.t1",105,0,0
"Porites_compressa_HIv1___RNAseq.94_t",403,1422,300
"Porites_compressa_HIv1___RNAseq.g9759.t1",129,2681,469
"Porites_compressa_HIv1___RNAseq.g9765.t1",1489,2848,1890
"Porites_compressa_HIv1___RNAseq.g9767.t1",427,0,0
"Porites_compressa_HIv1___RNAseq.g9770.t1",131,1675,742
"Porites_compressa_HIv1___RNAseq.g9772.t1",2522,4885,5331
"Porites_compressa_HIv1___RNAseq.g9776.t1",2,21,57
"Porites_compressa_HIv1___RNAseq.g9780.t1",65,0,345
"Porites_compressa_HIv1___TS.g4427.t1",329,96,162
"Porites_compressa_HIv1___TS.g4431.t1",688,1011,1363
"Porites_compressa_HIv1___RNAseq.g9787.t1",39,15,0
"Porites_compressa_HIv1___TS.g4433.t1",113,165,0
"Porites_compressa_HIv1___RNAseq.g9789.t1",1113,2106,1309
"Porites_compressa_HIv1___RNAseq.g9790.t1",1,131,1
"Porites_compressa_HIv1___RNAseq.g9791.t1",492,633,442
"Porites_compressa_HIv1___RNAseq.g9792.t1",308,613,664
"Porites_compressa_HIv1___RNAseq.g9795.t1",64,114,0
"Porites_compressa_HIv1___RNAseq.g9796.t1",29,179,5
"Porites_compressa_HIv1___RNAseq.g9797.t1",30,57,0
"Porites_compressa_HIv1___RNAseq.g9802.t1",57,167,447
"Porites_compressa_HIv1___TS.g4448.t1b",140,153,346
"Porites_compressa_HIv1___TS.g4449.t1",43,31,71
"Porites_compressa_HIv1___RNAseq.g9805.t1",13657,10059,7253
"Porites_compressa_HIv1___RNAseq.g9811.t1",223,0,0
"Porites_compressa_HIv1___RNAseq.g9812.t1",126,0,101
"Porites_compressa_HIv1___RNAseq.g9814.t1",62,1176,539
"Porites_compressa_HIv1___RNAseq.g9815.t1",1,617,366
"Porites_compressa_HIv1___RNAseq.g9818.t1",2465,2420,9086
"Porites_compressa_HIv1___RNAseq.g9819.t1",121,199,651
"Porites_compressa_HIv1___RNAseq.g9820.t1",163,2284,1657
"Porites_compressa_HIv1___RNAseq.g9822.t1",313,1113,1306
"Porites_compressa_HIv1___RNAseq.g9823.t1",299,266,138
"Porites_compressa_HIv1___RNAseq.g9824.t1",241,236,0
"Porites_compressa_HIv1___RNAseq.g9828.t1",17,562,1028
"Porites_compressa_HIv1___RNAseq.g9831.t1",782,1787,529
"Porites_compressa_HIv1___TS.g4479.t1",252,846,94
"Porites_compressa_HIv1___RNAseq.g9834.t1",479,389,450
"Porites_compressa_HIv1___RNAseq.g9835.t1",5,407,653
"Porites_compressa_HIv1___RNAseq.172_t",197,375,386
"Porites_compressa_HIv1___RNAseq.g9837.t1",172,406,0
"Porites_compressa_HIv1___RNAseq.g9838.t1",354,2654,2378
"Porites_compressa_HIv1___TS.g4486.t1",304,548,688
